County,male_pop_20-64,male_pop_20-64_moe,male_lfp_20-64,male_lfp_20-64_moe,male_emp_pop_ratio_20-64,male_emp_pop_ratio_20-64_moe,male_unemp_20-64,male_unemp_20-64_moe,female_pop_20-64,female_pop_20-64_moe,female_lfp_20-64,female_lfp_20-64_moe,female_emp_pop_ratio_20-64,female_emp_pop_ratio_20-64_moe,female_unemp_20-64,female_unemp_20-64_moe,female_pop_20-64_childrenu18,female_pop_20-64_moe_childrenu18,female_lfp_20-64_childrenu18,female_lfp_20-64_moe_childrenu18,female_emp_pop_ratio_20-64_childrenu18,female_emp_pop_ratio_20-64_moe_childrenu18,female_unemp_20-64_childrenu18,female_unemp_20-64_moe_childrenu18,female_pop_20-64_childrenu6,female_pop_20-64_moe_childrenu6,female_lfp_20-64_childrenu6,female_lfp_20-64_moe_childrenu6,female_emp_pop_ratio_20-64_childrenu6,female_emp_pop_ratio_20-64_moe_childrenu6,female_unemp_20-64_childrenu6,female_unemp_20-64_moe_childrenu6
"Adams County, Washington",5011,42,85.6,3.4,80.1,4.2,6.4,2.8,4973,141,65.8,4.5,61.9,4.6,5.8,3.2,2502,205,69.8,5.8,66.3,5.6,5,4,472,121,60.6,15,60.6,15,0,10.7
"Asotin County, Washington",6001,126,80.6,3.2,76.2,3.5,5.4,2.1,6301,81,71.4,3.9,65.8,4.1,7.7,3.5,2137,195,81.1,5,73.3,6.7,9.6,6,437,126,75.3,13.6,75.3,13.6,0,9.4
"Benton County, Washington",55343,120,82.9,1.3,78.5,1.4,5,0.8,54743,137,69.6,1.2,66.6,1.2,4.3,0.7,20896,721,69.5,2.3,67.4,2.3,3.1,0.9,4553,515,72.2,4.5,70,4.8,3,2.4
"Chelan County, Washington",21315,158,83.5,2.2,80.5,2.4,3.5,1.3,21023,202,72,2.4,67.6,2.3,6,1.4,7304,548,77.7,3.4,73.6,3.7,5.2,2.2,1535,316,76.8,8.8,71.1,10.4,7.4,8.6
"Clallam County, Washington",19521,157,75.3,2.1,67.6,2.4,9.3,1.5,19764,144,66,2.1,61.9,2.3,6.2,1.5,6166,355,72.8,4.3,68.9,4.4,5.3,2.2,1393,253,58.4,9,56.4,8.9,3.4,2.6
"Clark County, Washington",134937,89,85.9,0.6,81.9,0.7,4.4,0.4,137503,104,71.2,0.7,67.5,0.9,5.1,0.6,51575,729,69,1.2,65.4,1.4,5.1,0.9,11622,637,64.8,3.1,61,3.3,5.8,1.8
"Columbia County, Washington",1021,52,78.6,6.9,75.2,7.6,4.4,3.3,1073,71,73.9,6.7,70.4,7.3,4.8,6.1,298,43,73.8,13.2,73.8,13.2,0,13.7,38,29,13.2,20.4,13.2,20.4,0,100
"Cowlitz County, Washington",29604,88,76.8,1.8,71.3,1.9,7,1.3,29720,140,66.7,1.9,61.5,2.1,7.7,1.6,10486,531,74.4,3.4,68.1,3.6,8.4,2.5,2516,318,69.3,7.1,66.3,7.3,4.3,3.2
"Douglas County, Washington",11551,77,83.8,2.6,80.5,2.8,3.9,1.2,11125,59,75.2,2.7,72.9,2.8,3.2,1.4,4217,246,75.9,4,72.8,4.4,4,2.7,740,143,62.2,10.4,53.5,12.2,13.9,12.6
"Ferry County, Washington",2110,97,60.9,5.3,55.9,5.8,8.2,3.3,2112,52,53.5,5.5,49.6,5.8,7.2,3.6,687,70,62.2,8.4,57.2,8.4,8,4.7,137,52,53.3,20.5,40.1,19.2,24.7,23.4
