District Name,Question,Response,Week_End
Aberdeen School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Adna School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Almira School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Anacortes School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Arlington School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Asotin-Anatone School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Auburn School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Battle Ground School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Bellevue School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Bellingham School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Benge School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Bethel School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Bickleton School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Blaine School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Boistfort School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Bremerton School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Brewster School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Bridgeport School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Brinnon School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Burlington-Edison School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Camas School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Cape Flattery School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Carbonado School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Cascade School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
CASHMERE SCHOOL DISTRICT,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Centerville School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Central Kitsap School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Central Valley School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Centralia School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Chehalis School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Cheney School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Chewelah School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Clarkston School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Cle Elum-Roslyn School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Clover Park School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
College Place School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Columbia (Stevens) School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Columbia (WallaWalla) School Dis..,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Colville School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Concrete School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Conway School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Cosmopolis School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Coupeville School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Crescent School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Creston School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Curlew School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Cusick School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Darrington School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Davenport School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Dayton School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Deer Park School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Dieringer School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
East Valley School District (Spoka..,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Eastmont School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Eatonville School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Edmonds School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Elma School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Entiat School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Ephrata School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Evaline School District,Are you directly providing or funding child care for your community? ,Not yet,28-Mar
Everett School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Evergreen School District (Clark),Are you directly providing or funding child care for your community? ,Yes,28-Mar
Evergreen School District (Stevens),Are you directly providing or funding child care for your community? ,No,28-Mar
Federal Way School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Fife School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Finley School District,Are you directly providing or funding child care for your community? ,No,28-Mar
Franklin Pierce School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
Freeman School District,Are you directly providing or funding child care for your community? ,Yes,28-Mar
