FID,OBJECTID,ESDCode,ESD,ESDName,NAME,DistrictNa,Labels,CODE,CCDDD,CC,DDD,County,AddressLin,AddressL_1,City,State,Zipcode,Administra,Phone,Email,UNSD,SDLEA,Region,OrgId,DistrictId,WEBSITE,SHAPE_Leng,DistrictCode,DistrictName,DistrictOrganizationId,FREQUENCY,SUM_All_Students,SUM_Female,SUM_Gender_X,SUM_Male,SUM_American_Indian__Alaskan_Native,SUM_Asian,SUM_Black__African_American,SUM_Hispanic__Latino_of_any_race_s_,SUM_Native_Hawaiian__Other_Pacific_Islander,SUM_Two_or_More_Races,SUM_White,SUM_English_Language_Learners,SUM_Foster_Care,SUM_Homeless,SUM_Low_Income,SUM_Migrant,SUM_Military_Parent,SUM_Mobile,SUM_Section_504,SUM_Students_with_Disabilities,SUM_Non_English_Language_Learners,SUM_Non_Foster_Care,SUM_Non_Homeless,SUM_Non_Low_Income,SUM_Non_Migrant,SUM_Non_Military_Parent,SUM_Non_Mobile,SUM_Non_Section_504,SUM_Students_without_Disabilities,SHAPE_Length,SHAPE_Area
1,1,17801,121,Puget Sound Educational Service District 121,ENUMCLAW,ENUMCLAW SCHOOL DISTRICT,Enumclaw,17216,17216,17,216,King,2929 MCDOUGALL AVE, ,ENUMCLAW,Washington,98022-7499,Michael  Nelson,(360)802-7103,michael_nelson@enumclaw.wednet.edu,1,1,2,80,78,http://www.enumclaw.wednet.edu,741719.8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332793.4419,12636223280
2,2,32801,101,Educational Service District 101,INCHELIUM,INCHELIUM SCHOOL DISTRICT,Inchelium,10070,10070,10,70,Ferry,PO BOX 285, ,INCHELIUM,Washington,99138-0285,Kim Alan Spacek,(509)722-6181 Ext.100,kspacek@inchelium.net,2,2,5,109,107,http://www.inchelium.wednet.edu/,633489.1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289543.8753,12011394446
3,3,6801,112,Educational Service District 112,KELSO,KELSO SCHOOL DISTRICT,Kelso,8458,8458,8,458,Cowlitz,601 CRAWFORD ST, ,KELSO,Washington,98626-4398,Mary Beth  Tack,(360)501-1927,marybeth.tack@kelsosd.org,3,3,1,115,113,http://www.kelso.wednet.edu,706427.9262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311052.7836,7144951829
4,4,34801,113,Capital Region ESD 113,ABERDEEN,ABERDEEN SCHOOL DISTRICT,Aberdeen,14005,14005,14,5,Grays Harbor,216 N G ST, ,ABERDEEN,Washington,98520-5297,Alicia  Henderson,(360)538-2002,ahenderson@asd5.org,30,30,1,10,8,http://www.asd5.org,310782.0382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138792.8721,2010366903
5,5,34801,113,Capital Region ESD 113,ADNA,ADNA SCHOOL DISTRICT,Adna,21226,21226,21,226,Lewis,PO BOX 118, ,ADNA,Washington,98522-0118,James   Forrest,(360)748-0362,forrestj@adnaschools.org,60,60,1,11,9,http://www.adnaschools.org/,292502.8621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129821.5282,2178899306
6,6,32801,101,Educational Service District 101,ALMIRA,ALMIRA SCHOOL DISTRICT,Almira,22017,22017,22,17,Lincoln,PO BOX 217, ,ALMIRA,Washington,99103-0217,Shauna L Schmerer,(509)639-2414,sschmerer@achsd.org,90,90,5,12,10,http://www.achsd.org/,415438.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188319.3201,5785242365
7,7,29801,189,Northwest Educational Service District 189,ANACORTES,ANACORTES SCHOOL DISTRICT,Anacortes,29103,29103,29,103,Skagit,2200 M AVE, ,ANACORTES,Washington,98221-3794,Mark  Wenzel,(360)293-1211,Mwenzel@asd103.org,150,150,3,13,11,http://www.asd103.org/,261060.9519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120069.3287,3890296278
8,8,29801,189,Northwest Educational Service District 189,ARLINGTON,ARLINGTON SCHOOL DISTRICT,Arlington,31016,31016,31,16,Snohomish,315 N FRENCH AVE, ,ARLINGTON,Washington,98223-1317,Chrys  Sweeting,(360)618-6200,csweeting@asd.wednet.edu,240,240,3,14,12,http://www.asd.wednet.edu/,490381.8137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224016.8798,5216356211
9,9,11801,123,Educational Service District 123,ASOTIN-ANATONE,ASOTIN-ANATONE SCHOOL DISTRICT,Asotin-Anatone,2420,2420,2,420,Asotin,PO BOX 489, ,ASOTIN,Washington,99402-0489,Dale  Bonfield,(509)243-1100,dbonfield@aasd.wednet.edu,280,280,5,15,13,http://www.aasd.wednet.edu/,564409.6469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248317.2048,14693416945
10,10,17801,121,Puget Sound Educational Service District 121,AUBURN,AUBURN SCHOOL DISTRICT,Auburn,17408,17408,17,408,King,915 4TH ST NE, ,AUBURN,Washington,98002-4452,Alan  Spicciati,(253)931-4914,aspicciati@auburn.wednet.edu,300,300,2,16,14,http://www.auburn.wednet.edu,272297.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122303.6405,1592092867
