Week,March 1 - 7,March 1 - 7,March 1 - 7,March 1 - 7,March 8 - 14,March 8 - 14,March 8 - 14,March 8 - 14,March 15 - 21,March 15 - 21,March 15 - 21,March 15 - 21,March 23 - 28,March 23 - 28,March 23 - 28,March 23 - 28,March 29 - April 4,March 29 - April 4,March 29 - April 4,March 29 - April 4,April 5 - 11,April 5 - 11,April 5 - 11,April 5 - 11,April 12 - 18,April 12 - 18,April 12 - 18,April 12 - 18,April 19 - 25,April 19 - 25,April 19 - 25,April 19 - 25,April 26 - May 2,April 26 - May 2,April 26 - May 2,April 26 - May 2,May 3 - 9,May 3 - 9,May 3 - 9,May 3 - 9,May 10 - 16,May 10 - 16,May 10 - 16,May 10 - 16,May 17 - 23,May 17 - 23,May 17 - 23,May 17 - 23
Gender,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other
Adams County,10,4,6,0,16,8,8,0,95,60,35,0,105,*,52,*,145,63,82,0,119,63,56,0,91,44,47,0,239,123,116,0,217,*,119,*,291,117,171,3,286,146,140,0,87,49,38,0
Asotin County,4,*,*,*,4,*,*,*,97,69,28,0,143,*,74,*,164,75,89,0,106,48,58,0,105,67,38,0,114,71,43,0,78,44,34,0,113,52,61,0,152,78,*,*,65,*,33,*
Benton County,121,44,77,0,149,55,94,0,2373,1476,*,*,3408,1482,1920,6,2983,1413,1566,4,1920,896,1021,3,1241,634,600,7,1949,1050,891,8,1770,889,874,7,2342,1066,1267,9,3102,1389,1704,9,992,484,504,4
Chelan County,44,15,29,0,71,45,26,0,1136,707,*,*,1503,715,784,4,1578,735,840,3,965,479,486,0,588,*,308,*,1296,735,558,3,1073,611,*,*,894,434,456,4,1298,575,716,7,478,242,*,*
Clallam County,25,7,18,0,39,14,25,0,882,558,320,4,1433,*,871,*,1256,560,691,5,774,*,458,*,555,279,*,*,1062,*,546,*,885,412,468,5,717,*,374,*,1002,487,510,5,354,165,189,0
Clark County,222,*,130,*,300,139,161,0,4957,3312,1638,7,6721,3595,3108,18,7577,3815,3737,25,4719,2346,2360,13,3110,1638,1459,13,5112,2707,2395,10,4308,2208,2083,17,4645,2186,2430,29,5749,2694,3034,21,2140,1099,1036,5
Columbia County,*,*,*,*,*,*,*,*,28,16,*,*,28,13,15,0,56,19,37,0,30,14,16,0,13,*,*,*,32,19,13,0,34,19,15,0,33,18,15,0,64,26,38,0,22,7,15,0
Cowlitz County,83,20,63,0,92,38,54,0,1144,772,368,4,1604,806,795,3,1783,895,883,5,1074,502,568,4,739,341,398,0,1144,596,548,0,1013,*,514,*,1197,585,606,6,1508,718,779,11,543,231,312,0
Douglas County,31,11,20,0,33,18,15,0,419,280,139,0,600,282,315,3,667,328,336,3,473,218,252,3,268,151,117,0,580,325,255,0,510,318,*,*,373,157,216,0,608,293,310,5,205,*,110,*
Ferry County,6,*,*,*,5,0,5,0,11,5,6,0,47,26,21,0,48,17,31,0,43,20,23,0,37,22,15,0,87,44,43,0,41,27,14,0,60,39,21,0,65,34,31,0,30,15,15,0
Franklin County,57,20,37,0,151,83,68,0,843,554,*,*,1307,*,729,*,1162,584,*,*,886,*,500,*,531,268,*,*,816,434,*,*,782,*,395,*,857,376,478,3,1022,491,526,5,497,253,244,0
Garfield County,0,0,0,0,*,*,*,*,7,*,*,*,6,*,*,*,27,8,19,0,11,6,5,0,9,*,*,*,9,5,4,0,7,*,*,0,22,11,11,0,33,18,*,*,13,7,6,0
Grant County,67,22,45,0,78,33,45,0,717,405,*,*,1222,*,669,*,1245,*,708,*,732,348,380,4,489,255,*,*,799,445,*,*,779,450,*,*,879,413,462,4,1130,486,640,4,397,188,209,0
Grays Harbor County,62,*,39,*,79,24,55,0,831,523,305,3,1313,*,757,*,1339,*,722,*,947,*,502,*,642,309,329,4,975,493,478,4,806,*,426,*,903,414,481,8,1165,*,611,*,452,*,270,*
Island County,45,16,29,0,52,23,29,0,751,506,242,3,1173,*,588,*,1268,571,694,3,1390,*,822,*,574,271,300,3,1009,557,448,4,783,406,*,*,703,343,353,7,1005,511,489,5,379,195,184,0
Jefferson County,14,3,11,0,20,9,11,0,469,295,174,0,646,*,366,*,562,*,302,*,347,*,199,*,238,*,124,*,593,309,*,*,415,217,193,5,300,147,149,4,398,216,*,*,181,98,83,0
