demsharenext	difdemshare
.580962	.10486948
.46105853	.1392521
.54341078	-.073601931
.58458012	.086821526
.58028644	.39935827
.6243524	.16807723
.487293	.25156257
.57096452	.26750273
.59550136	.15275466
.6304118	.20239127
.74188519	.2378197
.77244276	.48799968
.71402943	.54488552
.73545104	.48580521
.5805223	.48599952
.49177942	.032944798
.40950862	-.013780028
.53289098	-.18098274
.49878392	.065781981
.56211752	.26531625
.54053378	.13008046
.46743682	.087058067
.65068132	.19812366
.69922239	.30983108
.53374416	.39844477
.67384547	.091963708
.63618165	.34769091
.59705013	.27236331
.51590836	.00011286139
.61008817	.066486865
.51919293	.0067006648
.40000379	-.053275347
.56222558	-.19999242
.54910547	.12445116
.53109241	.27793229
.53998482	.11607867
.54564059	.11542991
.54631823	.33698779
.5813486	.11188874
.46460351	.18111685
.69645667	.054073513
.66492832	.39291331
.5210433	.32985666
.71349216	.26898006
.71319652	.43275195
.42054099	-.11762807
.31127363	-.14833525
.5090555	-.37233794
.47956795	.01811102
.50957704	.036212653
.4732815	.019154072
.42627329	-.04079181
.37057862	-.080035865
.41636324	-.23953667
.37422901	-.16727352
.46459007	-.40787899
.2706714	-.070819855
.23437704	-.44710717
.37628898	-.50641227
.29873765	-.22828087
.45655078	-.036621153
.38074493	-.055007577
.53797877	-.23851013
.55099392	.075957537
.59062815	.34604469
.56315076	.18125629
.54745096	.12630153
.32749301	-.024358571
.52319092	-.33763027
.50365347	.046381831
.39109451	-.088403821
.2636131	-.21781099
.47247568	-.47277379
.52049458	-.06672886
.49882603	.06132105
.47679743	.17493629
.37712282	-.012190819
.51069915	-.24575436
.56619465	.27301988
.64197826	.13660282
.58958066	.28395656
.35824534	-.2796621
.33270577	-.28350928
.25629699	-.33013913
.48926482	-.32379082
.39592975	-.0069679916
.48553145	-.004506737
.38549641	-.020095199
.56037766	-.22900721
.53975314	.12075531
.54174984	.24996674
.51973766	.10040932
.49746564	.048967648
.50377983	-.0010651052
.56623095	.051541686
.59161842	.13246194
.42623448	-.0036169291
.35803241	-.14753103
.3151485	-.25672698
.53158361	-.27041221
.63217527	.094181508
.60196656	.26435053
.55315363	-.037850857
.60327291	.10630727
.56762111	.24008295
.55705869	.13524222
.64209318	.11411735
.19654106	-.42738581
.40853113	-.57455575
.21490784	-.099678099
.22670284	-.53129596
.33790359	-.54659426
.48971498	-.32419279
.71935195	.049454004
.76196086	.47124714
.31093279	-.14357042
.35986382	-.1116617
.44239929	-.27607501
.31180677	-.1106061
0	-1
0	-1
0	-1
.36222914	-.42279306
0	-.27554175
.25114423	-1
.22199708	-.45859078
